wweaicatnumfood,wweaicatdescfood,parentfoodcode,parentfooddesc,ffbin1,ffcont1,ffcont1fdd,ffbin9,ffcont9,ffcont9fdd,ingseq,ingcode,ingdesc,ingretcode,ingfoodprop,ingfermscore,fibin1,fibin9,fddfermweight,foodcodesource,fooddescsource,manualmatch,fddfermweight_avg,_merge,fermpropfddweight,lmcat
9007,Baby food: mixtures,67100250,"Baby Toddler fruit, with grain",0,0,0,0,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100250,"Baby Toddler fruit, with grain",0,0,0,0,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,9,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,9,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,9,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,9,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,9,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,6,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,6,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,6,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,6,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,6,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,1,43546,"Babyfood, banana no tapioca, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,1,43546,"Babyfood, banana no tapioca, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,1,43546,"Babyfood, banana no tapioca, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,1,43546,"Babyfood, banana no tapioca, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,1,43546,"Babyfood, banana no tapioca, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,5,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,5,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,5,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,5,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,5,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,7,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,7,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,7,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,7,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,7,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,8,19297,Jams and preserves,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,8,19297,Jams and preserves,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,8,19297,Jams and preserves,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,8,19297,Jams and preserves,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100260,"Baby Toddler fruit, with yogurt",1,0,0,1,0,0,8,19297,Jams and preserves,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100350,"Baby Toddler fruit and vegetables, Stage 2",0,0,0,0,0,0,7,3121,"Babyfood, vegetables, peas, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100350,"Baby Toddler fruit and vegetables, Stage 2",0,0,0,0,0,0,8,3104,"Babyfood, vegetables, squash, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
