Category_key,Grouping,Category,Condiment_status,Mixdish_status,Inulin_status
67,Category 2,Wine,0,0,0
68,Category 2,Liquor and cocktails,0,0,0
69,Category 2,Plain Water,0,0,0
70,Category 2,Flavored or Enhanced Water,0,0,0
71,Category 2,Butter and animal fats,0,0,0
72,Category 2,Margarine,0,0,0
73,Category 2,"Cream cheese, sour cream, whipped cream",0,0,0
74,Category 2,Cream and cream substitutes,0,0,0
75,Category 2,Mayonnaise,0,0,0
76,Category 2,Salad dressings and vegetable oils,0,0,0
77,Category 2,Tomato-based condiments,0,0,0
78,Category 2,Soy-based condiments,0,0,0
79,Category 2,Mustard and other condiments,0,0,0
80,Category 2,"Olives, pickles, pickled vegetables",0,0,0
81,Category 2,"Pasta sauces, tomato-based",0,0,0
82,Category 2,"Dips, gravies, other sauces",0,0,0
83,Category 2,Sugars and honey,0,0,0
84,Category 2,Sugar substitutes,0,0,0
85,Category 2,"Jams, syrups, toppings",0,0,0
86,Category 2,Baby Foods,0,0,0
87,Category 2,Baby Beverages,0,0,0
88,Category 2,Infant Formulas,0,0,0
89,Category 2,Human milk,0,0,0
90,Category 2,Protein and nutritional powders,0,0,1
91,Category 2,Not included in a food category,0,0,0
92,Category 3,"Milk, whole",0,0,0
93,Category 3,"Milk, reduced fat",0,0,0
94,Category 3,"Milk, lowfat",0,0,0
95,Category 3,"Milk, nonfat",0,0,0
96,Category 3,"Flavored milk, whole",0,0,0
97,Category 3,"Flavored milk, reduced fat",0,0,0
98,Category 3,"Flavored milk, lowfat",0,0,0
99,Category 3,"Flavored milk, nonfat",0,0,0
100,Category 3,Milk shakes and other dairy drinks,0,0,0
101,Category 3,Cottage/ricotta cheese,0,0,0
102,Category 3,"Yogurt, regular",0,0,0
103,Category 3,"Yogurt, Greek",0,0,0
104,Category 3,Plant-based milk,0,0,0
105,Category 3,Plant-based yogurt,0,0,1
106,Category 3,"Beef, excludes ground",0,0,0
107,Category 3,Ground beef,0,0,0
108,Category 3,Pork,0,0,0
109,Category 3,"Lamb, goat, game",0,0,0
110,Category 3,Liver and organ meats,0,0,0
